DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
07/03/2018 12:00:00 AM,13038378,10576919,Street,401 S Mitchell,SE Corner,Sidewalk,10,6,,0.75,,,,,,,,,,,,,,
07/03/2018 12:00:00 AM,13038378,10576919,Street,1600 E Atwater,NE Corner,Sidewalk,10,5,,0.75,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,925 N Madison Street,SW Corner,Sidewalk,10,5,,0.5,,,,,,,,,,,,,,
07/17/2018 12:00:00 AM,13715699,10584482,Street,1001 N Madison Street,NW Corner,Sidewalk,10,5,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Sidewalk,7,5,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Sidewalk,7,5,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,410 W 15th Street,NW Corner,Sidewalk,7,5,,0.5,,,,,,,,,,,,,,
07/24/2018 12:00:00 AM,13039062,10588639,Street,1015 N Madison Street,SW Corner,Sidewalk,7,5,,0.5,,,,,,,,,,,,,,
08/06/2018 12:00:00 AM,13039486,10595350,Street,1218 N Madison,SE Corner,Sidewalk,63,5,,1.5,,,,,,,,,,,,,,
08/01/2018 12:00:00 AM,13039338,10592681,Street,1200 N Madison,NE Corner,Sidewalk,5,5,,0.5,,,,,,,,,,,,,,
08/09/2018 12:00:00 AM,13039555,10597257,Street,203 E 15th Street,NE Corner,Sidewalk,20,5,,1.5,,,,,,,,,,,,,,
08/13/2018 12:00:00 AM,15817985,10599018,Street,123 E 15th Street,NW Corner,Sidewalk,5,5,,0.5,,,,,,,,,,,,,,
08/14/2018 12:00:00 AM,15818014,10599875,Street,202 E 15th Street,SE Corner,Sidewalk,20,5,,1.5,,,,,,,,,,,,,,
08/21/2018 12:00:00 AM,13039777,10602372,Street,112 E 15th Street,SW Corner,Sidewalk,45,5,,4,,,,,,,,,,,,,,
08/22/2018 12:00:00 AM,13039803,10603124,Street,108 E 15th Street,,Sidewalk,42,5,,2.5,,,,,,,,,,,,,,
08/23/2018 12:00:00 AM,13039854,10604077,Street,110 E 15th Street,,Sidewalk,45,5,,2.5,,,,,,,,,,,,,,
09/04/2018 12:00:00 AM,13040105,10609514,Street,214 E 15th Street,,Sidewalk,37,5,,2.5,,,,,,,,,,,,,,
08/28/2018 12:00:00 AM,13039973,10606504,Street,321 E 14th Street,NE Corner,Sidewalk,10,5,,1,,,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1101 N Lincoln Street,NW Corner,Sidewalk,10,5,,1,,,,,,,,,,,,,,
08/30/2018 12:00:00 AM,15818344,10607920,Street,1015 N Lincoln Street,SE Corner,Sidewalk,15,5,,1.5,,,,,,,,,,,,,,
09/20/2018 12:00:00 AM,13040543,10618652,Street,421 E 15th Street,NE Corner,Sidewalk,30,5,,2.5,,,,,,,,,,,,,,
09/11/2018 12:00:00 AM,15818431,10612828,Street,301 E 15th Street,same,Sidewalk,45,5,,5.5,,,,,,,,,,,,,,
09/13/2018 12:00:00 AM,13715874,10614449,Street,315 E 15th Street,same,Sidewalk,47,5,,5.5,,,,,,,,,,,,,,
09/19/2018 12:00:00 AM,15818601,10617799,Street,405 E 15th Street,same,Sidewalk,30,5,,2.5,,,,,,,,,,,,,,
09/19/2018 12:00:00 AM,15818601,10617799,Street,417 E 15th Street,same,Sidewalk,25,5,,1.5,,,,,,,,,,,,,,
09/17/2018 12:00:00 AM,13040442,10616201,Street,317 E 15th Street,same,Sidewalk,55,5,,4.5,,,,,,,,,,,,,,
10/11/2018 12:00:00 AM,15819110,10629508,Street,1105 E Allendale Drive,same,Sidewalk,40,5,,1.5,,,,,,,,,,,,,,
